"header_id";"parent_id";"option_id";"step";"remark";"rule"
1;0;0;1;"Initial transaction";""
2;68;138;3;"Initial transaction";""
5;33;0;8;"Initial transaction, FT, Share Loc, Choose Outlet";"Initial transaction,"
5;33;0;7;"Initial transaction, FT, Choose Outlet";""
24;5;0;8;"Initial transaction, FT, Choose Outlet, Close";"ni"
24;71;141;7;"Initial transaction, FT, Share Loc, Close";"ni"
4;5;0;9;"Initial transaction, FT, Share Loc, Choose Outlet, Close";"ni"
16;77;0;5;"Initial transaction, FT, Share Loc";"ni"
33;70;140;6;"Initial transaction, FT, Choose Outlet";""
33;71;142;7;"Initial transaction, FT, Share Loc, Choose Outlet";""
67;68;139;3;"Initial transaction";""
68;1;1;2;"Initial transaction";""
68;1;2;2;"Initial transaction";""
70;75;0;5;"Initial transaction, BN, Share Loc";""
71;70;0;6;"Initial transaction, FT, Share Loc";""
72;68;147;3;"Initial transaction";""
73;2;151;4;"Initial transaction, OT";""
73;70;156;6;"Initial transaction, FT, Choose Outlet";""
73;33;160;7;"Initial transaction, FT, Choose Outlet";""
73;5;161;8;"Initial transaction, FT, Choose Outlet, Close";""
73;5;161;9;"Initial transaction, FT, Share Loc, Choose Outlet, Close";""
73;5;162;8;"Initial transaction, FT, Choose Outlet, Close";""
73;5;162;9;"Initial transaction, FT, Share Loc, Choose Outlet, Close";""
73;5;163;8;"Initial transaction, FT, Choose Outlet, Close";""
73;5;163;9;"Initial transaction, FT, Share Loc, Choose Outlet, Close";""
74;67;137;4;"Initial transaction";""
74;72;159;4;"Initial transaction";""
74;73;153;5;"Initial transaction, OT, End";""
74;73;153;7;"Initial transaction, FT, Choose Outlet, End";""
74;73;153;8;"Initial transaction, FT, Choose Outlet, End";""
74;73;153;10;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";""
74;73;153;10;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";""
74;73;153;10;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";""
74;73;153;9;"Initial transaction, FT, Choose Outlet, Close, End";""
74;76;165;9;"Initial transaction, FT, Choose Outlet, Close, End";""
74;77;155;5;"Initial transaction, FT, End";""
74;24;998;9;"Initial transaction, FT, Choose Outlet, Close, End";""
74;24;998;8;"Initial transaction, FT, Share Loc, Close, End";""
74;24;998;10;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";""
75;2;3;4;"Initial transaction, BN";""
76;33;160;8;"Initial transaction, FT, Share Loc, Choose Outlet";""
77;2;4;4;"Initial transaction, FT";""
18;16;45;6;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";"Initial transaction,"
33;16;46;6;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";"Initial transaction,"
33;18;0;7;"Initial transaction, FT, Choose Outlet";"Initial transaction,"
11;4;7;10;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";"Initial transaction, FT, Choose Loc, Choose Outlet, In"
32;4;8;10;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";"Initial transaction, FT, Choose Loc, Choose Outlet, Out"
15;11;0;11;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";"Initial transaction, FT, Choose Loc, Choose Outlet, Out (new) nominial"
21;32;0;11;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";"Initial transaction, FT, Choose Loc, Choose Outlet, Out (new) nominal"
24;15;0;12;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";"Initial transaction, FT, Choose Loc, Choose Outlet, Out"
24;21;0;12;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";"Initial transaction, FT, Choose Loc, Choose Outlet, Out"
74;24;0;13;"Initial transaction, FT, Share Loc, Choose Outlet, Close, End";"Initial transaction, FT, Choose Loc, Choose Outlet, Out"
